episode,mean score
1000,3744.99
2000,6596.26
3000,8865.35
4000,10114.1
5000,11530.2
6000,12371.6
7000,13337.3
8000,13959.7
9000,14978.2
10000,15754
11000,16414.9
12000,16910.7
13000,17323.9
14000,17845.9
15000,17989.8
16000,18566.5
17000,18416
18000,19029.6
19000,19295.2
20000,19484.1
21000,19532.2
22000,19858.8
23000,19793.7
24000,19998.2
25000,19918.3
26000,20413.1
27000,20607.2
28000,20783
29000,21064.5
30000,20761.1
31000,20621.3
32000,20579.6
33000,20953.4
34000,20653
35000,21461.1
36000,21423.3
37000,21954.7
38000,22123.2
39000,21974.1
40000,22007.2
41000,22751.2
42000,22229.3
43000,23025.1
44000,22740.4
45000,23071.5
46000,22801.1
47000,23889
48000,23453.9
49000,23345.3
50000,23798.2
51000,23756.4
52000,24801.7
53000,24976
54000,24715.2
55000,24964.3
56000,24604
57000,24991
58000,25702.1
59000,25425.7
60000,26411.5
61000,25236.6
62000,25686
63000,25938.5
64000,25623.9
65000,25484.8
66000,26411.7
67000,26284.9
68000,27129.7
69000,26335.8
70000,26076.4
71000,26420.4
72000,26408.8
73000,27230.7
74000,26648.3
75000,27236.6
76000,26590.8
77000,27062.1
78000,26593.2
79000,26660.2
80000,26968
81000,25982.8
82000,26875.1
83000,27321
84000,27547.5
85000,27776.9
86000,27566.1
87000,28063.9
88000,28073.7
89000,27341.2
90000,28526.7
91000,28256.5
92000,27916.7
93000,28348.1
94000,28366.6
95000,28920.4
96000,28426.2
97000,28612.8
98000,28154.4
99000,28186.9
100000,27564.5
